,Pers.No.,department,Gender Key,Marital Status Key,No.ch,Age of employee,age_class,Certificate
1247,AALUISEQ,AE,Male,Marr.,1,40,40~50,College
1248,AALUISRL,AE,Female,Marr.,1,34,30~40,Bachelor
1249,AALUIAJA,AE,Male,Marr.,1,32,30~40,Bachelor
1250,AALUURAE,AED,Male,Marr.,1,33,30~40,Master
1251,AALUUSEL,CC,Male,Single,0,31,30~40,Bachelor
1252,AALUUQEQ,AE,Female,Single,0,26,25~30,
1253,AALUQJSJ,CC,Female,Marr.,0,28,25~30,
1254,AALUARRI,AE,Female,Single,0,28,25~30,Bachelor
1255,AALUJCJC,AE,Male,Marr.,1,37,30~40,Bachelor
1256,AALUJEEL,AE,Female,Single,0,31,30~40,Bachelor
1257,AALUJELE,AE,Male,Marr.,1,33,30~40,Bachelor
1258,AALLCUAQ,AE,Female,Marr.,1,36,30~40,Bachelor
1259,AALLCLSC,AE,Male,Marr.,1,41,40~50,College
1260,AALLCQLU,RBAC,Male,Single,0,32,30~40,Bachelor
1261,AALLELJS,AE,Male,Marr.,2,33,30~40,College
1262,AALLEJAA,CP,Male,Marr.,1,36,30~40,College
1263,AALLRACQ,AE,Male,Marr.,2,37,30~40,Bachelor
1264,AALLSLAR,AE,Male,Marr.,1,34,30~40,College
1265,AALLSJQQ,CC,Female,Marr.,1,39,30~40,Bachelor
1266,AALLIUJR,AE,Female,Marr.,1,33,30~40,Bachelor
1267,AALLILEA,AE,Female,Single,0,31,30~40,Bachelor
1268,AALLILAE,AE,Female,Marr.,2,32,30~40,Master
1269,AALLLSAL,CC,Male,Marr.,0,32,30~40,
1270,AALLQEIS,AE,Male,Marr.,1,46,40~50,Bachelor
1271,AALLQEUR,AE,Male,Marr.,2,35,30~40,Bachelor
1272,AALLQRSR,AE,Female,Single,0,27,25~30,Bachelor
1273,AALLASLL,AE,Male,Marr.,0,33,30~40,Master
1274,AALLALLJ,AE,Female,Marr.,0,27,25~30,Bachelor
1275,AALLJEIE,CC,Male,Single,0,29,25~30,Bachelor
1276,AALLJSQI,AE,Female,Single,0,29,25~30,
1277,AALLJSAS,CC,Male,Single,0,27,25~30,
1278,AALLJQUQ,AE,Male,Single,0,30,30~40,Master
1279,AALLJAEJ,AE,Female,Single,0,25,25~30,Bachelor
1280,AALQEULL,AE,Female,Marr.,1,30,30~40,Master
1281,AALQEUQU,AE,Female,Marr.,0,32,30~40,Master
1282,AALQELEJ,CM,Female,Marr.,1,34,30~40,Master
1283,AALQRIQQ,CC,Female,Single,0,31,30~40,Bachelor
1284,AALQIUJC,AE,Female,Marr.,0,38,30~40,Master
1285,AALQIARE,AE,Male,Single,0,27,25~30,Bachelor
1286,AALQIAUA,AE,Male,Marr.,1,37,30~40,Bachelor
1287,AALQUIAS,CC,Male,Marr.,1,30,30~40,Bachelor
1288,AALQUACR,AE,Male,Marr.,1,39,30~40,Bachelor
1289,AALQAIQE,CC,Male,Single,0,38,30~40,College
1290,AALQALCS,CC,Male,Marr.,0,34,30~40,Bachelor
1291,AALQAJLE,HRS3,Male,Marr.,1,31,30~40,Bachelor
1292,AALARJSA,AE,Male,Marr.,1,32,30~40,Master
1293,AALASCEA,CM,Male,Marr.,0,36,30~40,Bachelor
1294,AALASECQ,CC,Male,Marr.,0,30,30~40,
1295,AALASRIE,CC,Male,Single,0,30,30~40,
1296,AALASSRE,AE,Male,Marr.,1,34,30~40,College
1297,AALASQJU,CC,Male,Marr.,1,35,30~40,Master
1298,AALASACR,AE,Male,Marr.,1,34,30~40,Bachelor
1299,AALASAEE,AE,Male,Marr.,1,31,30~40,Bachelor
1300,AALASARC,AE,Female,Marr.,2,34,30~40,Bachelor
1301,AALAIAEC,AE,Female,Marr.,0,30,30~40,Master
1302,AALAUEJL,AE,Male,Marr.,2,36,30~40,College
1303,AALALECI,BEG,Male,Marr.,0,30,30~40,Master
1304,AALAQCAQ,AE,Male,Single,0,28,25~30,
1305,AALAQALR,CC,Male,Marr.,1,44,40~50,Doctor
1306,AALAQJUE,AE,Female,Marr.,2,36,30~40,Bachelor
1307,AALAJAJQ,CC,Male,Single,0,30,30~40,Master
1308,AALJCRAA,CP,Male,Marr.,1,37,30~40,Bachelor
1309,AALJCSES,CC,Male,Marr.,1,32,30~40,Bachelor
1310,AALJELQJ,AE,Male,Marr.,1,38,30~40,Bachelor
1311,AALJREUE,CC,Male,Marr.,0,37,30~40,Master
1312,AALJREQJ,AE,Female,Marr.,1,33,30~40,Bachelor
1313,AALJRLQA,AE,Male,Marr.,1,35,30~40,Bachelor
1314,AALJSLQQ,AE,Male,Marr.,2,36,30~40,Bachelor
1315,AALJSQCR,AE,Male,Marr.,1,34,30~40,Bachelor
1316,AALJUCJL,PT,Male,Marr.,0,38,30~40,Doctor
1317,AALJUUIC,AE,Female,Marr.,1,29,25~30,
1318,AALJUUUJ,AE,Female,Marr.,1,37,30~40,Master
1319,AAQCCILI,PA,Male,Marr.,1,33,30~40,Bachelor
1320,AAQCEJRL,PA,Male,Single,0,27,25~30,
1321,AAQCRAJC,PA,Male,Marr.,1,35,30~40,Master
1322,AAQCIAUR,AE,Male,Marr.,2,36,30~40,Bachelor
1323,AAQCJIAS,CC,Female,Marr.,1,37,30~40,Bachelor
1324,AAQEJIQR,AE,Male,Single,0,27,25~30,
1325,AAQRCQSL,AE,Male,Marr.,1,33,30~40,Bachelor
1326,AAQRCJAQ,RBAC,Male,Marr.,1,37,30~40,Bachelor
1327,AAQRECQL,CC,Female,Single,0,41,40~50,Master
1328,AAQREJSE,CP,Female,Single,0,28,25~30,
1329,AAQREJIC,AE,Male,Marr.,0,29,25~30,
1330,AAQRRCRC,AE,Male,Single,0,34,30~40,College
1331,AAQRRCSJ,AE,Female,Marr.,1,29,25~30,Bachelor
1332,AAQRRRRL,AE,Male,Single,0,27,25~30,Master
1333,AAQRRLIU,AE,Male,Single,0,38,30~40,Master
1334,AAQRSRSI,AE,Male,Marr.,1,45,40~50,College
1335,AAQRSURA,CC,Male,Marr.,1,40,40~50,Bachelor
1336,AAQRSUSQ,AE,Male,Marr.,2,40,40~50,Master
1337,AAQRLEQJ,AE,Female,Marr.,1,33,30~40,Junior College
1338,AAQRQRJI,RBAC,Female,Marr.,1,31,30~40,Master
1339,AAQRAAQR,AE,Male,Marr.,1,37,30~40,Bachelor
1340,AAQRAJRU,AE,Female,Marr.,1,29,25~30,
1341,AAQRJLAI,RBCN,Female,Marr.,0,31,30~40,Bachelor
1342,AAQSCUQI,AE,Female,Marr.,1,33,30~40,Bachelor
1343,AAQSCLRQ,CM,Male,Marr.,2,43,40~50,Master
1344,AAQSCQJA,AE,Male,Marr.,1,34,30~40,Bachelor
1345,AAQSCAEI,AE,Male,Single,0,33,30~40,Master
1346,AAQSRJUL,CC,Male,Marr.,1,36,30~40,Bachelor
1347,AAQSSRIE,AE,Female,Single,0,26,25~30,
1348,AAQSUQQU,CC,Female,Marr.,1,30,30~40,
1349,AAQSQRSA,AE,Male,Marr.,1,34,30~40,Master
1350,AAQSQJCL,CC,Male,Single,0,29,25~30,Bachelor
1351,AAQSASQE,AE,Male,Marr.,1,32,30~40,Bachelor
1352,AAQSASAC,CM,Male,Marr.,1,40,40~50,Master
1353,AAQSAASI,AE,Male,Marr.,0,28,25~30,Bachelor
1354,AAQSJLQS,AE,Male,Marr.,1,28,25~30,Master
1355,AAQICCEJ,CC,Male,Marr.,0,31,30~40,Master
1356,AAQICCJE,CC,Male,Marr.,0,30,30~40,Master
1357,AAQIRIAR,CC,Female,Marr.,1,38,30~40,Master
1358,AAQIICJQ,AE,Female,Marr.,1,31,30~40,Bachelor
1359,AAQIIIII,AE,Female,Marr.,2,30,30~40,Master
1360,AAQIIILR,AE,Male,Single,0,29,25~30,Bachelor
1361,AAQIILRE,AE,Female,Marr.,1,31,30~40,College
1362,AAQIUEAU,WujP,Female,Marr.,0,34,30~40,Master
1363,AAQIQCAU,AED,Male,Marr.,1,44,40~50,Master
1364,AAQIQCJI,AED,Male,Marr.,1,37,30~40,Bachelor
1365,AAQIQECE,AED,Male,Marr.,3,44,40~50,Bachelor
1366,AAQIQUJS,CC,Male,Marr.,1,28,25~30,Bachelor
1367,AAQIQLIL,CM,Male,Marr.,1,40,40~50,Bachelor
1368,AAQIQLQS,AE,Male,Marr.,1,35,30~40,Bachelor
1369,AAQIQASS,AE,Male,Marr.,2,34,30~40,College
1370,AAQIQAAA,AE,Male,Marr.,1,30,30~40,College
1371,AAQIALEA,AE,Male,Marr.,1,39,30~40,Master
1372,AAQIALRQ,AE,Male,Marr.,2,39,30~40,Bachelor
1373,AAQIALQR,AE,Female,Marr.,1,33,30~40,College
1374,AAQURASU,CC,Male,Single,0,29,25~30,Master
1375,AAQURJIR,CC,Male,Marr.,0,29,25~30,Master
1376,AAQURJQJ,AE,Male,Single,0,30,30~40,Bachelor
1377,AAQUILLI,AE,Male,Marr.,1,32,30~40,Bachelor
1378,AAQUIARI,CC,Female,Single,0,29,25~30,Master
1379,AAQUQCAR,AE,Female,Single,0,27,25~30,
1380,AAQLESJJ,CM,Female,Marr.,1,41,40~50,Master
1381,AAQLIJUQ,GS,Male,Marr.,2,35,30~40,Bachelor
1382,AAQLUSQQ,CC,Male,Marr.,1,27,25~30,Bachelor
1383,AAQQRIIJ,AE,Male,Marr.,0,33,30~40,Bachelor
1384,AAQQQRQU,GS,Male,Marr.,0,30,30~40,Master
1385,AAQQQSEJ,AE,Female,Marr.,0,27,25~30,
1386,AAQQQSRA,CM,Male,Marr.,0,30,30~40,Master
1387,AAQQQILR,AE,Male,Marr.,1,30,30~40,Bachelor
1388,AAQQJASI,AE,Male,Marr.,2,32,30~40,Bachelor
1389,AAQASCEQ,CC,Male,Single,0,31,30~40,Bachelor
1390,AAQASCLR,CC,Male,Marr.,1,36,30~40,Bachelor
1391,AAQASEUE,CC,Male,Marr.,0,30,30~40,College
1392,AAQASRCI,CC,Male,Marr.,0,32,30~40,Bachelor
1393,AAQASSSJ,AE,Female,Marr.,0,27,25~30,
1394,AAQAUJEL,CC,Male,Single,0,39,30~40,Bachelor
1395,AAQAUJRU,AED,Male,Marr.,1,39,30~40,Bachelor
1396,AAQAARQR,AE,Male,Marr.,1,36,30~40,College
1397,AAQAJACU,CC,Male,Marr.,0,31,30~40,Bachelor
1398,AAQJJRRI,CC,Male,Single,0,33,30~40,Bachelor
1399,AAQJJRSS,AE,Male,Single,0,32,30~40,Bachelor
1400,AAQJJSSE,AE,Male,Marr.,1,29,25~30,Master
1401,AAQJJSQQ,AE,Male,Marr.,1,29,25~30,Master
1402,AAQJJILL,AE,Female,Single,0,30,30~40,Master
1403,AAQJJACS,CM,Female,Single,0,36,30~40,Master
1404,AAQJJARE,AE,Female,Single,0,42,40~50,
1405,AAACEEES,CM,Male,Marr.,1,30,30~40,Bachelor
1406,AAACERCR,CP,Male,Marr.,0,29,25~30,Master
1407,AAACERQU,CC,Male,Marr.,0,29,25~30,Master
1408,AAACESRA,AE,Female,Marr.,1,33,30~40,College
1409,AAACESJE,AE,Male,Marr.,1,32,30~40,College
1410,AAACRILE,AE,Male,Single,0,29,25~30,Master
1411,AAACRUSE,RBAC,Female,Single,0,28,25~30,Master
1412,AAACRLEE,AE,Male,Marr.,2,36,30~40,Bachelor
1413,AAACRLUQ,AE,Female,Single,0,30,30~40,Bachelor
1414,AAACRQCC,CC,Male,Single,0,31,30~40,Master
1415,AAACSQSL,CC,Female,Marr.,1,29,25~30,Master
1416,AAACSJCU,CM,Male,Marr.,1,31,30~40,Master
1417,AAACSJIE,AE,Male,Marr.,2,39,30~40,Bachelor
1418,AAACIREA,CC,Female,Marr.,1,29,25~30,Bachelor
1419,AAACULSL,CC,Female,Marr.,1,42,40~50,Master
1420,AAACLSUC,AE,Male,Marr.,1,37,30~40,Vocational School
1421,AAACLSLJ,AE,Male,Single,0,29,25~30,Master
1422,AAACQUEA,CC,Male,Marr.,1,34,30~40,Bachelor
1423,AAACQUQR,AE,Female,Marr.,1,33,30~40,Master
1424,AAACQLQC,CM,Male,Marr.,1,33,30~40,Master
1425,AAACQQSR,CC,Male,Single,0,30,30~40,Master
1426,AAACQASC,AE,Female,Marr.,1,37,30~40,Master
1427,AAACJUAJ,AE,Female,Single,0,29,25~30,Bachelor
1428,AAACJLLJ,CC,Female,Marr.,1,36,30~40,Master
1429,AAAECCEI,CM,Female,Marr.,0,27,25~30,College
1430,AAAECRAS,AE,Female,Marr.,1,30,30~40,Bachelor
1431,AAAERURC,CM,Male,Marr.,0,32,30~40,Bachelor
1432,AAAERUSJ,CC,Male,Marr.,0,31,30~40,Bachelor
1433,AAAERUIA,CP,Male,Marr.,0,31,30~40,Bachelor
1434,AAAERAAA,AE,Female,Marr.,1,32,30~40,Master
1435,AAAEIIRE,CM,Male,Single,0,29,25~30,Bachelor
1436,AAAEIUCC,AE,Male,Marr.,0,31,30~40,Master
1437,AAAEIURA,GS,Male,Marr.,1,37,30~40,Master
1438,AAAELLSS,AE,Male,Marr.,1,36,30~40,College
1439,AAAELLIR,AE,Male,Marr.,2,30,30~40,College
1440,AAAELLAA,AE,Female,Marr.,1,30,30~40,Master
1441,AAAELQRR,AE,Female,Marr.,0,30,30~40,Master
1442,AAAEQJEA,BBSD,Male,Marr.,1,35,30~40,College
1443,AAAEJSJE,AED,Male,Single,0,32,30~40,Master
1444,AAAEJIII,CM,Male,Marr.,1,36,30~40,Bachelor
1445,AAAEJIJJ,AE,Female,Marr.,1,39,30~40,Master
1446,AAAEJUEI,AE,Male,Marr.,0,30,30~40,Master
1447,AAARISLQ,CC,Male,Single,0,30,30~40,Bachelor
1448,AAARIICE,AE,Male,Marr.,1,29,25~30,Bachelor
1449,AAARIISA,CC,Male,Marr.,0,34,30~40,Master
1450,AAARUCUS,AE,Male,Marr.,2,38,30~40,Bachelor
1451,AAARUCLR,AE,Female,Single,0,28,25~30,Master
1452,AAARURCI,CM,Male,Marr.,1,33,30~40,Bachelor
1453,AAARURLA,BBSD,Female,Single,0,27,25~30,Master
1454,AAARURAL,AE,Female,Marr.,1,36,30~40,Bachelor
1455,AAARUSCR,CM,Male,Marr.,1,33,30~40,Bachelor
1456,AAARLSQI,CM,Female,Single,0,28,25~30,Master
1457,AAARLUIR,CC,Male,Marr.,0,34,30~40,Master
1458,AAARLULC,CM,Male,Marr.,1,36,30~40,Master
1459,AAARAIEL,CC,Male,Marr.,1,38,30~40,Bachelor
1460,AAARAIUR,CM,Male,Marr.,1,36,30~40,Master
1461,AAARAIQC,AED,Male,Marr.,1,31,30~40,College
1462,AAARJUJI,AE,Male,Marr.,1,28,25~30,Bachelor
1463,AAARJLRJ,AE,Male,Marr.,1,29,25~30,Bachelor
1464,AAARJLIQ,CM,Male,Marr.,2,32,30~40,Bachelor
1465,AAARJQAE,AE,Male,Marr.,1,34,30~40,Master
1466,AAARJQJC,CC,Male,Marr.,0,30,30~40,Bachelor
1467,AAASCELS,RBAC,Female,Single,0,30,30~40,Master
1468,AAASRCQR,AE,Female,Marr.,1,35,30~40,Bachelor
1469,AAASRCJC,CC,Female,Marr.,1,35,30~40,Master
1470,AAASSEIR,RBCN,Female,Marr.,0,37,30~40,Master
1471,AAASSRAL,CM,Female,Marr.,1,31,30~40,Master
1472,AAASSSCR,AE,Male,Marr.,2,39,30~40,Bachelor
1473,AAASSSLL,AE,Male,Marr.,1,30,30~40,Doctor
1474,AAASSIRA,AE,Male,Marr.,1,33,30~40,Master
1475,AAASSIAR,CP,Male,Single,0,25,25~30,Bachelor
1476,AAASSURU,AE,Male,Marr.,1,37,30~40,Bachelor
1477,AAAICCAE,CC,Female,Single,0,25,25~30,College
1478,AAAICIAS,AE,Female,Single,0,26,25~30,Bachelor
1479,AAAICJLI,CM,Female,Marr.,0,29,25~30,Master
1480,AAAIEIUU,CC,Female,Marr.,0,32,30~40,Master
1481,AAAIRRAU,CC,Female,Single,0,26,25~30,Bachelor
1482,AAAIRJLR,CM,Female,Marr.,1,36,30~40,Bachelor
1483,AAAIISSL,GS,Male,Marr.,1,28,25~30,Master
1484,AAAILICU,RBCN,Female,Single,0,34,30~40,Master
1485,AAAILIEI,CR,Male,Marr.,1,45,40~50,Doctor
1486,AAAILLUU,CC,Male,Single,0,27,25~30,Master
1487,AAAILQCA,RBAC,Male,Marr.,1,39,30~40,Bachelor
1488,AAAILQUS,CM,Male,Marr.,0,31,30~40,Master
1489,AAAILARI,CC,Female,Marr.,1,31,30~40,Master
1490,AAAILJQQ,CC,Female,Single,0,36,30~40,Master
1491,AAAIJCQS,CM,Male,Marr.,0,31,30~40,Bachelor
1492,AAAIJEEQ,CP,Male,Single,0,32,30~40,Bachelor
1493,AAAIJEUS,AE,Female,Marr.,1,33,30~40,Bachelor
1494,AAAIJIEE,CC,Male,Marr.,0,30,30~40,Bachelor
1495,AAAUCUAQ,AE,Male,Marr.,1,37,30~40,Bachelor
1496,AAAUCLLQ,AE,Male,Marr.,0,34,30~40,Bachelor
1497,AAAUCLQL,HRS1,Female,Marr.,1,29,25~30,Master
1498,AAAUCLAU,GS,Male,Marr.,0,34,30~40,Bachelor
1499,AAAUCQRJ,CC,Female,Single,0,25,25~30,Bachelor
1500,AAAUCQSA,CC,Male,Marr.,0,33,30~40,Master
1501,AAAUCQQI,PA,Male,Single,0,31,30~40,Master
1502,AAAUCQJR,CM,Male,Marr.,1,35,30~40,Master
1503,AAAUCACJ,CM,Female,Marr.,1,31,30~40,Bachelor
1504,AAAURICL,AE,Male,Single,0,27,25~30,Master
1505,AAAURAQC,AE,Female,Single,0,30,30~40,Master
1506,AAAULCJE,BBSD,Female,Marr.,1,43,40~50,Junior College
1507,AAAULESU,CC,Male,Marr.,1,31,30~40,Master
1508,AAAULELR,CC,Male,Marr.,1,34,30~40,Bachelor
1509,AAAULRCL,AE,Male,Single,0,31,30~40,Master
1510,AAAULRLC,CM,Female,Marr.,1,28,25~30,Bachelor
1511,AAAUQAEE,RBCN,Male,Marr.,0,30,30~40,Master
1512,AAAUAUUR,CC,Male,Single,0,26,25~30,Master
1513,AAAUAUQC,CM,Male,Marr.,1,34,30~40,Master
1514,AAAUAUJA,AE,Female,Marr.,1,32,30~40,Bachelor
1515,AAAUJEJL,CM,Female,Marr.,1,36,30~40,Master
1516,AAAUJSJR,AE,Female,Single,0,25,25~30,Bachelor
1517,AAAUJIEA,CM,Female,Marr.,1,36,30~40,Bachelor
1518,AAAUJIRQ,CM,Female,Marr.,1,35,30~40,Bachelor
1519,AAAUJISL,CM,Male,Single,1,31,30~40,Bachelor
1520,AAAUJIIU,CM,Male,Marr.,1,38,30~40,Master
1521,AAAUJAQS,AED,Female,Marr.,1,40,40~50,Junior College
1522,AAALEILJ,AE,Male,Marr.,2,38,30~40,Junior College
1523,AAALEIQA,AE,Female,Marr.,1,31,30~40,Bachelor
1524,AAALEIAQ,CM,Female,Marr.,1,29,25~30,Master
1525,AAALEUCR,CM,Male,Marr.,0,29,25~30,Bachelor
1526,AAALEUIA,AE,Male,Marr.,0,28,25~30,Bachelor
1527,AAALEUUQ,AE,Female,Marr.,1,33,30~40,Bachelor
1528,AAALEUAI,CM,Male,Marr.,1,38,30~40,Bachelor
1529,AAALELQS,CM,Male,Marr.,1,33,30~40,Master
1530,AAALEQSU,CM,Male,Marr.,1,36,30~40,Bachelor
1531,AAALRICI,CM,Male,Single,0,31,30~40,Bachelor
1532,AAALRISE,AE,Male,Single,0,31,30~40,Bachelor
1533,AAALICAR,CM,Male,Single,0,33,30~40,Master
1534,AAALIECA,CC,Male,Single,0,27,25~30,Bachelor
1535,AAALISQQ,CC,Male,Marr.,1,30,30~40,Bachelor
1536,AAALIAIJ,AE,Male,Marr.,0,27,25~30,Bachelor
1537,AAALUIAS,CM,Male,Marr.,1,29,25~30,Bachelor
1538,AAALQRUA,AE,Female,Single,0,29,25~30,Master
1539,AAALQRJI,AE,Male,Marr.,2,36,30~40,Bachelor
1540,AAALQSCE,AE,Male,Marr.,1,34,30~40,Master
1541,AAALAISU,CM,Male,Marr.,1,36,30~40,Bachelor
1542,AAAQCUCE,AE,Male,Marr.,0,28,25~30,Bachelor
1543,AAAQCLLS,AE,Male,Marr.,2,33,30~40,Junior College
1544,AAAQCLQR,AE,Male,Marr.,0,30,30~40,Bachelor
1545,AAAQCASR,CC,Male,Marr.,1,34,30~40,Bachelor
1546,AAAQEAAL,CM,Female,Marr.,1,34,30~40,Bachelor
1547,AAAQSQLA,AE,Female,Marr.,1,39,30~40,Bachelor
1548,AAAQSAEE,PA,Female,Marr.,1,38,30~40,Bachelor
1549,AAAQSAUQ,CM,Male,Single,0,30,30~40,Master
1550,AAAQSAQU,AE,Female,Marr.,1,36,30~40,Bachelor
1551,AAAQIRIC,AE,Male,Marr.,2,33,30~40,Bachelor
1552,AAAQUQAI,CC,Male,Marr.,1,28,25~30,Master
1553,AAAQUARA,CM,Male,Single,0,28,25~30,Bachelor
1554,AAAQUJAC,CM,Male,Marr.,1,33,30~40,Bachelor
1555,AAAQLCAA,CM,Male,Single,1,32,30~40,Bachelor
1556,AAAQACES,AE,Female,Single,0,31,30~40,Bachelor
1557,AAAQACSE,AE,Male,Marr.,2,37,30~40,Bachelor
1558,AAAQACJU,AE,Male,Marr.,2,34,30~40,Master
1559,AAAQAEIA,PA,Male,Single,0,25,25~30,Bachelor
1560,AAAQJQUS,AED,Male,Marr.,0,29,25~30,Master
1561,AAAQJACL,CM,Male,Marr.,1,33,30~40,Bachelor
1562,AAAQJAUE,AE,Male,Marr.,1,32,30~40,Bachelor
1563,AAAACARE,CM,Male,Marr.,2,36,30~40,Master
1564,AAAACJRJ,CC,Female,Marr.,1,32,30~40,Bachelor
1565,AAAJRURS,AE,Male,Marr.,1,36,30~40,Bachelor
1566,AAAJRLCS,AE,Female,Marr.,1,30,30~40,Bachelor
1567,AAAJRLJI,AE,Male,Marr.,1,35,30~40,Bachelor
1568,AAAJRQRJ,AE,Female,Marr.,0,31,30~40,Bachelor
1569,AAAJRQLU,CM,Male,Marr.,2,46,40~50,Master
1570,AAAJRQQI,AE,Female,Marr.,1,36,30~40,Master
1571,AAAJRALS,PA,Male,Marr.,1,35,30~40,Bachelor
1572,AAAJRJEL,CM,Male,Marr.,1,33,30~40,Bachelor
1573,AAAJRJQC,CP,Male,Marr.,0,29,25~30,Master
1574,AAAJSECS,CC,Male,Marr.,1,40,40~50,Bachelor
1575,AAAJIISS,AE,Male,Marr.,1,34,30~40,Bachelor
1576,AAAJUCAU,CC,Male,Marr.,1,29,25~30,Bachelor
1577,AAAJUJQQ,AE,Male,Marr.,1,34,30~40,Bachelor
1578,AAJCEERE,AE,Male,Marr.,1,38,30~40,Bachelor
1579,AAJCRIAA,CM,Female,Marr.,1,32,30~40,Master
1580,AAJCRIJQ,RBAC,Female,Marr.,1,39,30~40,Bachelor
1581,AAJCRUER,CM,Male,Marr.,1,31,30~40,Bachelor
1582,AAJCRURE,BBSD,Female,Single,0,26,25~30,Bachelor
1583,AAJCRUIJ,AE,Female,Marr.,1,33,30~40,Master
1584,AAJCISEU,RBCN,Male,Marr.,1,34,30~40,Master
1585,AAJCLJLU,AE,Male,Single,0,29,25~30,Bachelor
1586,AAJCQCUI,AE,Female,Single,0,30,30~40,Bachelor
1587,AAJCQCAE,CC,Female,Marr.,0,32,30~40,Master
1588,AAJCQEEL,CC,Male,Single,0,34,30~40,College
1589,AAJCQEIS,CC,Female,Marr.,1,39,30~40,Bachelor
1590,AAJCQSIJ,CC,Male,Marr.,1,36,30~40,Bachelor
1591,AAJCQICE,CM,Female,Marr.,1,37,30~40,Doctor
1592,AAJCQUCA,CC,Male,Marr.,1,32,30~40,Bachelor
1593,AAJCQJRA,CM,Female,Single,0,26,25~30,Bachelor
1594,AAJECIEU,AE,Female,Marr.,2,36,30~40,Bachelor
1595,AAJECIJQ,AE,Female,Single,0,27,25~30,Bachelor
1596,AAJESLJJ,CC,Male,Single,0,29,25~30,Master
1597,AAJESQRI,AE,Male,Marr.,1,32,30~40,Bachelor
1598,AAJEICCC,GS,Male,Marr.,1,38,30~40,Bachelor
1599,AAJEURAQ,AE,Male,Single,0,36,30~40,
1600,AAJEUQES,AE,Male,Marr.,1,30,30~40,Bachelor
1601,AAJEUQSE,AE,Female,Single,0,29,25~30,Master
1602,AAJEQIRQ,AE,Female,Marr.,0,30,30~40,Bachelor
1603,AAJEQUQJ,CM,Male,Single,0,32,30~40,Master
1604,AAJEQQRC,CC,Male,Single,0,34,30~40,Bachelor
1605,AAJEAUJL,CM,Male,Marr.,1,31,30~40,Bachelor
1606,AAJEAAAE,AE,Female,Marr.,2,31,30~40,Bachelor
1607,AAJEAAJC,CM,Male,Single,0,29,25~30,Bachelor
1608,AAJREURA,CM,Male,Marr.,1,30,30~40,Bachelor
1609,AAJREUSQ,CM,Male,Marr.,1,32,30~40,Master
1610,AAJREUQS,AE,Female,Marr.,1,37,30~40,Bachelor
1611,AAJREJUQ,CI,Male,Single,0,25,25~30,Bachelor
1612,AAJRIQLQ,AE,Male,Marr.,1,39,30~40,Master
1613,AAJRIALU,AE,Female,Marr.,0,29,25~30,Bachelor
1614,AAJRURLQ,AE,Male,Marr.,0,27,25~30,Master
1615,AAJRLUIE,AE,Male,Unknow,1,34,30~40,Bachelor
1616,AAJRQEQL,AE,Male,Marr.,1,32,30~40,Bachelor
1617,AAJRQEAU,AE,Female,Marr.,2,38,30~40,Bachelor
1618,AAJSCUAE,CC,Male,Single,0,34,30~40,Master
1619,AAJSCLEL,AE,Female,Marr.,1,35,30~40,Bachelor
1620,AAJSCLUR,CP,Male,Marr.,1,41,40~50,Bachelor
1621,AAJSEIIQ,CC,Female,Marr.,1,33,30~40,Bachelor
1622,AAJSEIUL,AE,Female,Marr.,1,34,30~40,Bachelor
1623,AAJSELQJ,AE,Female,Marr.,1,35,30~40,Bachelor
1624,AAJSRCCA,CC,Female,Single,0,28,25~30,Master
1625,AAJSRCSU,CC,Male,Marr.,0,31,30~40,Bachelor
1626,AAJSRCAC,AE,Female,Marr.,0,29,25~30,Master
1627,AAJSRRES,AE,Male,Single,0,26,25~30,Bachelor
1628,AAJSUQJE,AE,Male,Single,0,31,30~40,Bachelor
1629,AAJSUJEU,AE,Male,Marr.,0,30,30~40,Bachelor
1630,AAJSLELL,AE,Male,Marr.,0,30,30~40,Master
1631,AAJSQUAI,CC,Male,Marr.,1,30,30~40,College
1632,AAJSQLCC,AE,Male,Marr.,1,29,25~30,Bachelor
1633,AAJSQLUU,AE,Male,Marr.,1,32,30~40,Bachelor
1634,AAJSAESQ,CM,Male,Marr.,0,35,30~40,Master
1635,AAJICRES,AE,Male,Marr.,1,36,30~40,Master
1636,AAJICRRR,CC,Female,Marr.,1,37,30~40,College
1637,AAJIRIAC,CP,Male,Marr.,0,32,30~40,Bachelor
1638,AAJIRUCU,AE,Female,Single,0,29,25~30,Master
1639,AAJIRLER,AE,Male,Marr.,1,33,30~40,Bachelor
1640,AAJIRLSC,RBAC,Female,Marr.,2,32,30~40,Bachelor
1641,AAJIRAEA,AE,Male,Single,0,31,30~40,Doctor
1642,AAJIRASL,CM,Male,Marr.,1,31,30~40,Bachelor
1643,AAJIRAJC,CM,Male,Marr.,2,35,30~40,Bachelor
1644,AAJIUCCS,CC,Male,Marr.,0,28,25~30,Master
1645,AAJILIQQ,CC,Female,Single,0,26,25~30,Bachelor
1646,AAJILUEC,CM,Female,Marr.,0,28,25~30,Bachelor
1647,AAJILLAE,AE,Male,Marr.,2,35,30~40,Bachelor
1648,AAJILQLE,CM,Male,Marr.,1,39,30~40,Bachelor
1649,AAJILJCS,AE,Male,Marr.,1,35,30~40,College
1650,AAJIQJIA,AE,Female,Marr.,0,28,25~30,Master
1651,AAJIQJLL,CC,Male,Marr.,0,32,30~40,Master
